Year,Week,Club1,Club2,Att1,Mid1,Def1,Att2,Mid2,Def2,Diff1,Diff2,Goals1,Goals2
2015,19,UD Las Palmas,Málaga CF,73,70,67,74,73,74,-0.4444444444444444,-0.05555555555555555,1,1
2015,19,Celta Vigo,Atlético Madrid,75,74,73,81,78,79,0.16666666666666666,0.9444444444444444,0,2
2015,20,Sevilla FC,Málaga CF,79,76,77,74,73,74,0.2631578947368421,-0.05263157894736842,2,1
2015,20,Celta Vigo,Levante UD,75,74,73,73,71,73,0.05263157894736842,-0.9473684210526315,4,3
2015,20,Villarreal CF,Real Betis,78,76,74,73,71,68,0.5263157894736842,-0.7894736842105263,0,0
2015,20,Real Sociedad,Deportivo La Coruña,78,76,76,71,72,72,-0.2631578947368421,0.15789473684210525,1,1
2015,20,Valencia CF,Rayo Vallecano,81,79,77,75,73,75,0.21052631578947367,-1.1578947368421053,2,2
2015,20,Real Madrid,Sporting Gijón,86,83,81,63,67,70,1.7894736842105263,-0.7894736842105263,5,1
2015,20,Getafe CF,Espanyol Barcelona,72,73,69,76,73,72,-0.3157894736842105,-0.6842105263157895,3,1
2015,20,UD Las Palmas,Atlético Madrid,73,70,67,81,78,79,-0.42105263157894735,1.0,0,3
2015,20,FC Barcelona,Athletic Bilbao,88,85,81,77,77,77,1.631578947368421,0.2631578947368421,6,0
2015,20,SD Eibar,Granada CF,72,72,72,72,74,72,0.3684210526315789,-0.8421052631578947,5,1
2015,21,Sporting Gijón,Real Sociedad,63,67,70,78,76,76,-0.95,-0.25,5,1
2015,21,Málaga CF,FC Barcelona,74,73,74,88,85,81,-0.1,1.85,1,2
2015,21,Espanyol Barcelona,Villarreal CF,76,73,72,78,76,74,-0.75,0.5,2,2
2015,21,Granada CF,Getafe CF,72,74,72,72,73,69,-1.0,-0.2,3,2
2015,21,Rayo Vallecano,Celta Vigo,75,73,75,75,74,73,-1.1,0.1,3,0
2015,21,Athletic Bilbao,SD Eibar,77,77,77,72,72,72,-0.05,0.55,5,2
2015,21,Atlético Madrid,Sevilla FC,81,78,79,79,76,77,1.1,0.3,0,0
2015,21,Deportivo La Coruña,Valencia CF,71,72,72,81,79,77,0.15,0.2,1,1
2015,21,Real Betis,Real Madrid,73,71,68,86,83,81,-0.75,1.9,1,1
2015,21,Levante UD,UD Las Palmas,73,71,73,73,70,67,-0.95,-0.55,3,2
2015,22,FC Barcelona,Atlético Madrid,88,85,81,81,78,79,1.8095238095238095,1.0476190476190477,2,1
2015,22,SD Eibar,Málaga CF,72,72,72,74,73,74,0.38095238095238093,-0.14285714285714285,1,2
2015,22,Getafe CF,Athletic Bilbao,72,73,69,77,77,77,-0.23809523809523808,0.09523809523809523,0,1
2015,22,Villarreal CF,Granada CF,78,76,74,72,74,72,0.47619047619047616,-0.9047619047619048,1,0
2015,22,Real Sociedad,Real Betis,78,76,76,73,71,68,-0.42857142857142855,-0.7142857142857143,2,1
2015,22,Sevilla FC,Levante UD,79,76,77,73,71,73,0.2857142857142857,-0.8571428571428571,3,1
2015,22,Valencia CF,Sporting Gijón,81,79,77,63,67,70,0.19047619047619047,-0.7142857142857143,0,1
2015,22,UD Las Palmas,Celta Vigo,73,70,67,75,74,73,-0.5714285714285714,-0.047619047619047616,2,1
2015,22,Real Madrid,Espanyol Barcelona,86,83,81,76,73,72,1.8095238095238095,-0.7142857142857143,6,0
2015,22,Deportivo La Coruña,Rayo Vallecano,71,72,72,75,73,75,0.14285714285714285,-0.9047619047619048,2,2
2015,23,Málaga CF,Getafe CF,74,73,74,72,73,69,-0.09090909090909091,-0.2727272727272727,3,0
2015,23,Atlético Madrid,SD Eibar,81,78,79,72,72,72,0.9545454545454546,0.3181818181818182,3,1
2015,23,Rayo Vallecano,UD Las Palmas,75,73,75,73,70,67,-0.8636363636363636,-0.5,2,0
2015,23,Athletic Bilbao,Villarreal CF,77,77,77,78,76,74,0.13636363636363635,0.5,0,0
2015,23,Sporting Gijón,Deportivo La Coruña,63,67,70,71,72,72,-0.6363636363636364,0.13636363636363635,1,1
2015,23,Levante UD,FC Barcelona,73,71,73,88,85,81,-0.9090909090909091,1.7727272727272727,0,2
2015,23,Real Betis,Valencia CF,73,71,68,81,79,77,-0.7272727272727273,0.13636363636363635,1,0
2015,23,Celta Vigo,Sevilla FC,75,74,73,79,76,77,-0.09090909090909091,0.36363636363636365,1,1
2015,23,Granada CF,Real Madrid,72,74,72,86,83,81,-0.9090909090909091,2.0,1,2
2015,23,Espanyol Barcelona,Real Sociedad,76,73,72,78,76,76,-0.9545454545454546,-0.36363636363636365,0,5
2015,24,Sporting Gijón,Rayo Vallecano,63,67,70,75,73,75,-0.6086956521739131,-0.7391304347826086,2,2
2015,24,Real Madrid,Athletic Bilbao,86,83,81,77,77,77,1.9565217391304348,0.13043478260869565,4,2
2015,24,Villarreal CF,Málaga CF,78,76,74,74,73,74,0.4782608695652174,0.043478260869565216,1,0
2015,24,Valencia CF,Espanyol Barcelona,81,79,77,76,73,72,0.08695652173913043,-1.1304347826086956,2,1
2015,24,Deportivo La Coruña,Real Betis,71,72,72,73,71,68,0.13043478260869565,-0.6521739130434783,2,2
2015,24,Real Sociedad,Granada CF,78,76,76,72,74,72,-0.13043478260869565,-0.9130434782608695,3,0
2015,24,Sevilla FC,UD Las Palmas,79,76,77,73,70,67,0.34782608695652173,-0.5652173913043478,2,0
2015,24,SD Eibar,Levante UD,72,72,72,73,71,73,0.21739130434782608,-0.9565217391304348,2,0
2015,24,Getafe CF,Atlético Madrid,72,73,69,81,78,79,-0.391304347826087,1.0,0,1
2015,24,FC Barcelona,Celta Vigo,88,85,81,75,74,73,1.7826086956521738,-0.08695652173913043,6,1
2015,25,Levante UD,Getafe CF,73,71,73,72,73,69,-1.0,-0.4166666666666667,3,0
2015,25,UD Las Palmas,FC Barcelona,73,70,67,88,85,81,-0.625,1.9166666666666667,1,2
2015,25,Espanyol Barcelona,Deportivo La Coruña,76,73,72,71,72,72,-1.125,0.125,1,0
2015,25,Real Betis,Sporting Gijón,73,71,68,63,67,70,-0.625,-0.5833333333333334,1,1
2015,25,Celta Vigo,SD Eibar,75,74,73,72,72,72,-0.2916666666666667,0.2916666666666667,3,2
2015,25,Rayo Vallecano,Sevilla FC,75,73,75,79,76,77,-0.7083333333333334,0.4166666666666667,2,2
